0.157855 0.417554 -1
0.0575419 0.27899 -1
0.826974 0.140354 1
0.933699 0.466555 -1
0.333766 0.356839 1
0.543016 0.845097 -1
0.949867 0.63132 1
0.884929 0.44327 1
0.541411 0.0103724 1
0.726275 0.990877 -1
0.443369 0.955762 -1
0.0568459 0.674876 -1
0.523634 0.444251 1
0.524334 0.300334 1
0.445103 0.596361 -1
0.223706 0.598171 -1
0.984947 0.200067 1
0.191348 0.886817 -1
0.271754 0.8841 -1
0.113987 0.901081 -1
0.533174 0.912454 -1
0.289592 0.640525 -1
0.26544 0.743115 -1
0.0793773 0.927822 -1
0.869083 0.206904 1
0.717947 0.712835 -1
0.930144 0.223684 1
0.555069 0.879446 -1
0.925317 0.301348 1
0.0791074 0.380442 -1
0.587731 0.982303 -1
0.709684 0.370325 1
0.764673 0.0994081 1
0.126726 0.0599338 1
0.945442 0.503366 1
0.954427 0.125048 1
0.573293 1 1
0.146597 0.98814 -1
0.17711 0.847156 -1
0.976287 0.115879 1
0.019425 0.778428 -1
0.961741 0.569121 1
0.0310834 0.627057 -1
0.66706 0.0987143 1
0.882236 0.574309 1
0.783164 0.473664 -1
0.465527 0.0594293 1
0.71427 0.677229 1
0.350575 0.287675 1
0.0291392 0.879392 -1
0.72329 0.456709 1
0.375524 0 -1
0.656801 0.620775 1
0.498399 0.553452 1
0.0318433 0.687969 -1
0.362508 0.303237 1
0.320384 0.758824 -1
0.12377 0.62288 -1
0.423614 0.177065 1
0.420731 0.590435 -1
0.771541 0.364439 1
0.840046 0.429634 1
0.665684 0.972868 -1
0.436317 0.967296 -1
0.724001 0.0807048 1
0.673751 0.305145 1
0.715237 0.515275 1
0.4839 0.381185 1
0.0766923 0.293189 -1
0.185361 0.287494 -1
0.369659 0.735859 -1
0.73256 0.31127 1
0.523665 0.00253243 1
0.519017 0.209795 1
0.259863 0.459433 -1
0.249157 0.145452 -1
0.992084 0.545709 1
0.534043 0.933287 -1
0.419076 0.317909 -1
0.937313 0.192816 1
0.358366 0.314826 1
0.345331 0.889389 -1
0.897078 0.3008 1
0.577411 0.0667552 1
0.256965 0.842195 -1
0.433943 0.326491 1
0.677964 0.837626 1
0.264004 0.960578 -1
0.517646 0.92942 -1
0.788503 0.032061 1
0.125832 0.264858 -1
0.343829 0.399084 -1
0.912272 0.374918 1
0.051468 0.672321 -1
0.631239 0.254296 1
0.00662715 0.906173 -1
0.13173 0.672811 1
0.0291204 0.347361 -1
0.976325 0.237454 1
0.397724 0.872825 -1
